PubID,StreetAddress,Area,TradingName,NumberOfPatrons,Xcoordinate,Ycoordinate
260,34-38 Franklin Street,Melbourne (CBD),Mac's Hotel,125,144.9616126,-37.80752292
261,313-315 Flinders Lane,Melbourne (CBD),Mack Daddy Soprano,100,144.9638507,-37.81763918
262,457-471 Bourke Street,Melbourne (CBD),Madisons Restaurant Bar Lounge,280,144.9601886,-37.81547268
263,226-236 Russell Street,Melbourne (CBD),Mai Tai Restaurant,170,144.9676444,-37.81098272
264,672-696 Bourke Street,Melbourne (CBD),Mail Exchange Hotel,600,144.9535902,-37.81663038
265,30-44 Manchester Lane,Melbourne (CBD),Manchester Lane,250,144.9662007,-37.81642646
266,7-9 Waratah Place,Melbourne (CBD),Manchuria,80,144.9669911,-37.81162502
267,435-443 Little Collins Street,Melbourne (CBD),Marrakech Bar,200,144.9600859,-37.81638558
268,90-98 Collins Street,Melbourne (CBD),Massoni Wine Bar ,112,144.9702813,-37.8139675
269,221 Little Lonsdale Street,Melbourne (CBD),Match Bar & Grill,360,144.9657034,-37.810658
270,125-133 Swanston Street,Melbourne (CBD),Max Watt's,800,144.9658102,-37.81472467
271,178-226 Wellington Parade,East Melbourne,MCG Worx,144,144.9834989,-37.81582277
272,573-579 Spencer Street,West Melbourne (Residential),McMahons,160,144.9469867,-37.80740767
273,133-135 Flinders Lane,Melbourne (CBD),Meat Ball,110,144.9701585,-37.81573536
274,3 Southgate Avenue,Southbank,Mecca,200,144.9662623,-37.82066923
275,99-127 Pearl River Road,Docklands,Medibank Icehouse,100,144.9356321,-37.81223232
276,183-265 La Trobe Street,Melbourne (CBD),Melbourne Central Lion Heart,550,144.9630189,-37.81073331
277,183-265 La Trobe Street,Melbourne (CBD),Melbourne Central Lion Hotel,550,144.9630189,-37.81073331
278,442-450 Elizabeth Street,Melbourne (CBD),Melbourne International Backpackers,365,144.9608588,-37.8083077
279,12-16 Bank Place,Melbourne (CBD),Melbourne Savage Club,90,144.9605765,-37.81654467
280,500-514 Collins Street,Melbourne (CBD),Menzies Tavern,200,144.9574732,-37.81753383
281,446-452 Collins Street,Melbourne (CBD),Menzies Tavern Hotel,197,144.959442,-37.81730302
282,143-151 Therry Street,Melbourne (CBD),Mercat Cross Hotel,230,144.9583711,-37.80792152
283,248-258 Swanston Street,Melbourne (CBD),Mesa Verde,175,144.9652504,-37.81199559
284,40-56 Queens Bridge Street,Southbank,Mesh/Tonic Bar,300,144.9597768,-37.8238538
285,263-267 William Street,Melbourne (CBD),Metropolitan Hotel,300,144.9565837,-37.81292397
286,263-267 William Street,Melbourne (CBD),Metropolitan On William Bar & Restaurant,300,144.9565837,-37.81292397
287,34-38 Franklin Street,Melbourne (CBD),Miss Libertine @ Mac's Hotel ,355,144.9616126,-37.80752292
288,5-9 Bank Place,Melbourne (CBD),Mitre Tavern,300,144.9603112,-37.81680457
289,187 Flinders Lane,Melbourne (CBD),Mon Bijou,180,144.9683751,-37.81635789
290,318-322 Little Bourke Street,Melbourne (CBD),Money Order Office,55,144.9631276,-37.81292437
291,213-217 Russell Street,Melbourne (CBD),Monga Sweet Cafe,100,144.9672365,-37.81156167
292,19-25 Little Bourke Street,Melbourne (CBD),Mrs Parma's ,350,144.9719903,-37.81074304
